id,wikidata
partito_democratico,Q47729
movimento_5_stelle,Q47817
forza_italia_-_il_popolo_della_liberta'_-_berlusconi_presidente,Q14924303
scelta_civica_per_l'italia,Q2792033
area_popolare_(ncd-udc),Q18844195
sinistra_italiana_-_sinistra_ecologia_liberta',Q286140
il_popolo_della_liberta'_-_berlusconi_presidente,Q47720
lega_nord_e_autonomie_-_lega_dei_popoli_-_noi_con_salvini,Q47750
sinistra_ecologia_liberta',Q286140
democrazia_solidale_-_centro_democratico,Q15456227
fratelli_d'italia-alleanza_nazionale,Q1757843
lega_nord_e_autonomie,Q47750
nuovo_centrodestra,Q15196039
